External ID,Name,Cost,Sales Price,Barcode,Visible on current website,Image Url
,Prince Lascha Semai 500gm,100,120,802565000001,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/1.1_Prince_Lascha_Semai_500gm.jpg
,Prince Lascha Semai 200gm,26,35,802565000002,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/1.2_Prince_Lascha_Semai_200gm.jpg
,Prince Super Vermichilli Semai 350gm,29,38,802565000003,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/1.3_Prince_Super_Vermichilli_350gm.jpg
,Prince Vermichilli Semai 200gm,22,30,802565000004,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/1.4_Prince_Vermichilli_Semai_200gm.jpg
,Prince Special Square Toast 350gm,40.62,50,802565000005,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/1.5_Prince_Special_Square_Toast_350gm.jpg
,Prince Noly Toast 350gm,40.62,50,802565000006,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/2.1_Prince_Noly_Toast_350gm.jpg
,Prince Special Chanachur 350gm,48,55,802565000007,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/2.2_Prince_Special_Chanachur_350gm.jpg
,Prince Special Chanachur 170gm,25,30,802565000008,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.1_Prince_Special_Chanachur_170gm.jpg
,Prince Jhal Chanachur 350gm,40,48,802565000009,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.2_Prince_Jhal_Chanachur_350gm.jpg
,Prince Jhal Chanachur 170gm,21,27,802565000010,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.3_Prince_Jhal_Chanachur_170gm.jpg
,Prince Chanachur 70gm,11,14,802565000011,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.4_Prince_Chanachur_70gm.jpg
,Prince Chanachur 25gm,4,5,802565000012,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.5_Prince_Chanachur_25gm.jpg
,Prince Chira Vaja 100gm,12,15,802565000013,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.6_Prince_Chira_Vaja_100gm.jpg
,Prince Chira Vaja 30gm,5.2,6,802565000014,TRUE,https://raw.githubusercontent.com/ShaheenHossain/food_images/master/3.7_Prince_Chira_Vaja_30gm.jpg
